Classifier,Dataset,Training,Test,Balanced Test,Crossvalidation,Safe Test Precision,Unsafe Test Preicision,Safe Test Recall,Unsafe Test Precision,Safe Test FMeasure,Unsafe Test FMeasure,Safe Balance Precision,Unsafe Balance Precision,Safe Balance Recall,Unsafe Balance Precision,Safe Balanced Fmeasure,Safe Balanced Fmeasure,data size
,,,,,,,,,,,,,,,,,,
J48,0_8_segment_driver.csv,92.37695078,77.77293844,77.27272727,98.96173665,0.999381455,0.008289224,0.777690715,0.794258373,0.874708063,0.016407215,0.785,0.76146789,0.751196172,0.794258373,0.767726161,0.777517564,91210
NaiveBayes,0_8_segment_driver.csv,65.42617047,66.0848298,60.52631579,97.61758579,0.998528914,0.00401263,0.661028712,0.583732057,0.795460515,0.00797047,0.600917431,0.61,0.626794258,0.583732057,0.613583138,0.596577017,91210
Logistic,0_8_segment_driver.csv,74.06962785,62.529036,71.29186603,98.85758141,0.999248201,0.004958727,0.624883864,0.799043062,0.768920324,0.009856287,0.757225434,0.681632653,0.626794258,0.799043062,0.685863874,0.735682819,91210
RandomForest,0_8_segment_driver.csv,100,79.13204681,77.27272727,98.89485802,0.999448584,0.009034384,0.79126882,0.813397129,0.883257738,0.017870283,0.796875,0.752212389,0.732057416,0.813397129,0.763092269,0.781609195,91210
,,,,,,,,,,,,,,,,,,
J48,0_8_segment_beamng.csv,92.90726817,82.38165659,85.47094188,96.73270957,0.999017389,0.03499763,0.823355025,0.887775551,0.902719972,0.067340579,0.879828326,0.832706767,0.821643287,0.887775551,0.849740933,0.859359845,73639
NaiveBayes,0_8_segment_beamng.csv,67.44360902,53.16946403,66.13226453,95.24844172,0.997548552,0.012418023,0.529616775,0.819639279,0.691894241,0.024465381,0.736070381,0.622526636,0.503006012,0.819639279,0.597619048,0.707612457,73639
Logistic,0_8_segment_beamng.csv,74.3358396,72.08861577,73.64729459,96.61320768,0.997697237,0.019483485,0.720535069,0.769539078,0.836762113,0.038004751,0.753218884,0.721804511,0.703406814,0.769539078,0.72746114,0.744907856,73639
RandomForest,0_8_segment_beamng.csv,99.84962406,84.86984738,86.87374749,96.64172517,0.999148385,0.041053305,0.848329718,0.899799599,0.917583019,0.078523959,0.893162393,0.847169811,0.837675351,0.899799599,0.864529473,0.872691934,73639
